Source,Target
385448,767
385448,12444
385448,12445
385448,10882
385448,675
340613,340666
340613,843
340613,346685
340613,11004
454283,16314
454283,18885
454283,105
454283,32302
454283,1726
385360,281957
385360,562
385360,238636
385360,442249
385360,395834
477033,4011
477033,91586
477033,561
477033,588
477033,675
483980,10947
483980,9880
483980,15144
483980,449176
483980,11887
515916,370663
515916,152532
515916,226
515916,449176
515916,398818
511785,449176
511785,184352
511785,376867
511785,400547
511785,26280
456750,1571
456750,345887
456750,562
456750,9772
456750,146233
491418,371645
491418,331588
491418,9364
491418,36536
491418,332045
391710,443009
391710,487558
391710,324786
391710,424694
391710,451915
529982,357096
529982,281957
529982,345887
529982,445954
529982,11423
460555,9355
460555,409
460555,345009
460555,10243
460555,25388
515841,273153
515841,437557
515841,634
515841,370663
515841,426613
494407,34433
494407,436931
494407,81
494407,28609
494407,44251
397722,449176
397722,376660
397722,398818
397722,13374
397722,13342
513574,1788
513574,44214
513574,68817
513574,85373
513574,335797
345934,424
345934,423
345934,1771
345934,228150
345934,369885
420634,1696
420634,10585
420634,59967
420634,371608
420634,429476
467632,8090
467632,984
467632,357096
467632,15069
467632,807
543580,297762
543580,600
543580,324786
543580,374720
543580,1865
433627,612
433627,10661
433627,424694
433627,369972
433627,369192
513223,281957
513223,392044
513223,336843
513223,101299
513223,8966
401371,78
401371,1103
401371,4836
401371,2666
401371,86838
451480,424
451480,637
451480,334522
451480,228150
451480,369885
486753,281957
486753,392044
486753,336843
486753,101299
486753,50619
487242,155
487242,272
487242,49521
487242,209112
487242,141052
421471,272693
421471,449176
421471,308369
421471,2105
421471,9880
504603,298
504603,949
504603,627
504603,520360
504603,339403
